,Label,Outcome
2186,Adverse-effects,incidence of leukopenia
2187,Adverse-effects,occlusion
2188,Adverse-effects,"toxicity, mainly haematological, nausea/vomiting and neutropenic fever"
2189,Adverse-effects,risk of bruising
2190,Adverse-effects,severity of side effects
2191,Adverse-effects,Febrile neutropenia rate
2192,Adverse-effects,Minor complications
2193,Adverse-effects,prevention of fungal infections
2194,Adverse-effects,no increase in serious adverse events
2183,Adverse-effects,lithium clearance
2114,Adverse-effects,"falls, disability, and morbidity"
2334,Adverse-effects,blood pressure
2336,Adverse-effects,"Sexual health, SF-36 scores and symptoms"
2476,Adverse-effects,adverse event
2477,Adverse-effects,severe toxicity
2478,Adverse-effects,shivering-like tremor seen during epidural anesthesia
2479,Adverse-effects,ambulatory blood pressure (ABP) response
2480,Adverse-effects,serious infections
2481,Adverse-effects,mean time to intubation
2482,Adverse-effects,infectious or hemorrhagic complications
2483,Adverse-effects,atheroma burden
2484,Adverse-effects,myelosuppression
2485,Adverse-effects,extent of defects on MCE
2486,Adverse-effects,clinical manifestation
2487,Adverse-effects,tolerated
2488,Adverse-effects,incapacitating
2489,Adverse-effects,Alopecia
2490,Adverse-effects,serious adverse drug events
2491,Adverse-effects,drug-related hypotensive infusion reaction
2492,Adverse-effects,mean duration of air leak
2493,Adverse-effects,VEGFR-2 staining levels
2494,Adverse-effects,Tracheostomy bleeding
2495,Adverse-effects,overall incidence for serious complications
2496,Adverse-effects,incidence of cerebrovascular attacks
2497,Adverse-effects,parietal cell density
2498,Adverse-effects,"appetite, fatigue, drowsiness, dizziness, and drooling"
2475,Adverse-effects,respiratory depression
2474,Adverse-effects,CABG
2473,Adverse-effects,adverse events
2472,Adverse-effects,occurrence of relapse
2448,Adverse-effects,DBP
2449,Adverse-effects,preference
2450,Adverse-effects,transient neurologic symptoms
2451,Adverse-effects,PONV
2452,Adverse-effects,clinical adverse events
2453,Adverse-effects,"Gestational age, weight loss, and patent ductus arteriosus"
2454,Adverse-effects,cumulative anaemia and thrombocytopenia
2455,Adverse-effects,"Blood pressure, heart rate, oxygen saturation, total amount of analgesic consumed and adverse effects"
2456,Adverse-effects,substance P response was unaffected
2457,Adverse-effects,changes in neurohormones
2458,Adverse-effects,hypaesthesia
2499,Adverse-effects,urinary metabolite of the E prostaglandins
2459,Adverse-effects,mild sedation and nausea
2461,Adverse-effects,impairment of memory
2462,Adverse-effects,the effect on relatives
2463,Adverse-effects,[ Acute cardiovascular and metabolic changes
2464,Adverse-effects,untoward biological effects
2465,Adverse-effects,improvement of complications
2466,Adverse-effects,sedative effect
2467,Adverse-effects,thromboembolism
2468,Adverse-effects,severe adverse events
2469,Adverse-effects,significant painful episodes
2470,Adverse-effects,imbalance in bone remodeling
2471,Adverse-effects,Weight changes
2460,Adverse-effects,Pharmacokinetics and tolerance
2447,Adverse-effects,Family therapy was found to be more effective than individual therapy
2500,Adverse-effects,Grade 4 neutropenia
2502,Adverse-effects,number of patients experiencing adverse events
2531,Adverse-effects,severe side effects
2532,Adverse-effects,Stability of blood glucose self-measurement values
2533,Adverse-effects,"Postoperative hemodynamics, rejection episodes, and infectious complications"
2534,Adverse-effects,ability was limited
2535,Adverse-effects,face numbness
2536,Adverse-effects,risk reduction
2537,Adverse-effects,neutropenia
2538,Adverse-effects,gastrointestinal AEs
2539,Adverse-effects,assess possible complications
2540,Adverse-effects,complete recovery
2541,Adverse-effects,bleaching
2542,Adverse-effects,modified NFCS
2543,Adverse-effects,cesarean section rate
2544,Adverse-effects,cardiotoxicity
2545,Adverse-effects,urinary leakage
2546,Adverse-effects,postoperative nausea and vomiting
2547,Adverse-effects,hip fracture
2548,Adverse-effects,reduced visual acuity
2549,Adverse-effects,infectious death or delay in treatment of underlying disease due to infection
2550,Adverse-effects,minor bleeding
2551,Adverse-effects,GNCC
2552,Adverse-effects,2 safety end points
2553,Adverse-effects,proarrhythmic effects
2530,Adverse-effects,nitroglycerin-induced changes in arterial diameters
2529,Adverse-effects,presence and severity of opioid-related adverse effects
2528,Adverse-effects,tolerance to the antianginal effect
2527,Adverse-effects,status epilepticus
2503,Adverse-effects,Decreased sensitivity to dexamethasone
2504,Adverse-effects,Nephrotoxicity (a rise in serum creatinine of 45 mumol/L or more)
2505,Adverse-effects,"Common Terminology Criteria for Adverse Events, version 3.0, and late toxicity"
2506,Adverse-effects,postoperative pain/discomfort
2507,Adverse-effects,risk of new neoplasia
2508,Adverse-effects,infections and infestations
2509,Adverse-effects,No adverse side effects
2510,Adverse-effects,Rates of serious adverse events and serious infections
2511,Adverse-effects,postoperative vitreous prolaps into the anterior chamber
2512,Adverse-effects,postoperative analgesic intake
2513,Adverse-effects,objective tumor response
2501,Adverse-effects,"safe, effective and wall tolerated"
2514,Adverse-effects,recurrence of cryptococcal infection at any site
2516,Adverse-effects,revisions
2517,Adverse-effects,increased levels
2518,Adverse-effects,almost adverse events were mild
2519,Adverse-effects,ulceration
2520,Adverse-effects,neonatal morbidity
2521,Adverse-effects,acute rejection
2522,Adverse-effects,OKT8+ cells
2523,Adverse-effects,5-year overall survival rate and 5-year disease-free survival rate
2524,Adverse-effects,discontinuations due to an AE
2525,Adverse-effects,drop in intraocular pressure
2526,Adverse-effects,borderline reduction in tPA antigen
2515,Adverse-effects,side-effect profiles
2446,Adverse-effects,"apnea occurring for more than 30 seconds, involuntary movements, limb hypertonus )"
2445,Adverse-effects,Cheyne-Stokes pattern
2444,Adverse-effects,disability
2365,Adverse-effects,symptomatic
2366,Adverse-effects,"regimen-related toxicity, engraftment, supportive care, response and survival"
2367,Adverse-effects,intraoperative complications
2368,Adverse-effects,air leaks
2369,Adverse-effects,blood glucose concentration
2370,Adverse-effects,number of infections
2371,Adverse-effects,modes of failure
2372,Adverse-effects,nonhematologic toxicities
2373,Adverse-effects,adverse event rates
2374,Adverse-effects,sCD44v6
2375,Adverse-effects,effective and safer
2376,Adverse-effects,serum ammonia levels
2377,Adverse-effects,incidence of central nervous system side effects
2378,Adverse-effects,haematological
2379,Adverse-effects,acceptable toxicity
2380,Adverse-effects,H pylori negative time
2381,Adverse-effects,stress
2382,Adverse-effects,injection pain
2383,Adverse-effects,mucosal height
2384,Adverse-effects,Sexual function
2385,Adverse-effects,adverse effects on colorectal adenoma recurrence
2386,Adverse-effects,arterial BP
2387,Adverse-effects,drooling
2364,Adverse-effects,effective advance in antithrombotic therapy
2363,Adverse-effects,Net +/- SEM sponge weight (total intraoperative suture line bleeding)
2362,Adverse-effects,incidence of ventricular fibrillation
2361,Adverse-effects,adverse effect
2337,Adverse-effects,IGF-I levels and of dehydroepiandrosterone sulphate (DHEAS)
2338,Adverse-effects,all adverse events
2339,Adverse-effects,ABC
2340,Adverse-effects,pharmacological effects
2341,Adverse-effects,methotrexate-induced neutropenia
2342,Adverse-effects,nausea and incidence of vomiting/retching
2343,Adverse-effects,systolic and diastolic dysfunction
2344,Adverse-effects,general discomfort
2345,Adverse-effects,efficacy and lack of severe side effects
2346,Adverse-effects,Helicobacter pylori infection
2347,Adverse-effects,severe symptom score
2388,Adverse-effects,bradycardia
2348,Adverse-effects,toxicity
2350,Adverse-effects,forearm blood flow
2351,Adverse-effects,dysphagia
2352,Adverse-effects,risk of major adverse cardiac events
2353,Adverse-effects,grade III or IV toxicity
2354,Adverse-effects,risk of SSI
2355,Adverse-effects,TAFIa-dependent prolongation of clot lysis
2356,Adverse-effects,major depressive episode
2357,Adverse-effects,fever
2358,Adverse-effects,catheter-related bloodstream infection
2359,Adverse-effects,excision results
2360,Adverse-effects,overall side-effect score
2349,Adverse-effects,prostacyclin metabolite
2389,Adverse-effects,"paradysthesia ), but deep venous thrombosis"
2390,Adverse-effects,post-transplant diabetes
2391,Adverse-effects,Fungal colonization
2420,Adverse-effects,pulmonary emboli
2421,Adverse-effects,Subject-reported adverse events
2422,Adverse-effects,treatment efficacy
2423,Adverse-effects,slight body weight gain
2424,Adverse-effects,Urine samples
2425,Adverse-effects,hepatotoxic and nephrotoxic effects
2426,Adverse-effects,significantly reduced
2427,Adverse-effects,mild diarrhoea and vomiting
2428,Adverse-effects,cough responses
2429,Adverse-effects,"complication rates (infection, perforation)"
2430,Adverse-effects,Metal release
2419,Adverse-effects,toxic or allergic reaction post-operatively
2431,Adverse-effects,"disability, illness perceptions, pain and coping"
2433,Adverse-effects,pyrosis
2434,Adverse-effects,anal stenosis
2435,Adverse-effects,hematologic or hepatic toxicity
2436,Adverse-effects,"overall outcome, specific symptoms, and side effects"
2437,Adverse-effects,complete spleen regression
2438,Adverse-effects,incidence of major complication
2439,Adverse-effects,Treatment-emergent adverse events
2440,Adverse-effects,dyskinesias
2441,Adverse-effects,sustained virologic response (SVR)
2442,Adverse-effects,hand-foot syndrome
2443,Adverse-effects,events
2432,Adverse-effects,Blood pressure
2335,Adverse-effects,aspirin-induced grades 3 and 4 gastric injury
2418,Adverse-effects,radial artery spasm
2416,Adverse-effects,rate of catheter colonization
2392,Adverse-effects,endoscopic lesions and adverse reactions
2393,Adverse-effects,dyspnea
2394,Adverse-effects,new myocardial infarction
2395,Adverse-effects,Non-haematological toxicity
2396,Adverse-effects,Adverse event profiles
2397,Adverse-effects,glomerular filtration rate (eGFR)
2398,Adverse-effects,"International Prostate Symptom Score (IPSS), urine flow, and prostate volume. Modified Boyarsky score"
2399,Adverse-effects,ileal digestibility values
2400,Adverse-effects,"headache, flushing, facial edema, and paresthesia"
2401,Adverse-effects,adverse effects of smoking
2402,Adverse-effects,carcinogenic effects
2417,Adverse-effects,frequency of headache
2403,Adverse-effects,reduction in bleeding per rectum
2405,Adverse-effects,anterior chamber inflammation
2406,Adverse-effects,preventing a recurrence of PCP
2407,Adverse-effects,ability to produce IL-2 and IL-4
2408,Adverse-effects,"extrapyramidal effects, cardiac events, or seizures"
2409,Adverse-effects,side effect profile
2410,Adverse-effects,septic complication
2411,Adverse-effects,become sleepy
2412,Adverse-effects,severe emetic sequelae (SES)
2413,Adverse-effects,"anemia, leukopenia, neutropenia, thrombocytopenia, fatigue, constipation and arthralgias/myalgias"
2414,Adverse-effects,hyperorexia
2415,Adverse-effects,mCPP does not alter dopamine function
2404,Adverse-effects,constipation
1231,Adverse-effects,gynaecomastia
1230,Adverse-effects,increased bone formation
1229,Adverse-effects,global incidence of adverse events
46,Adverse-effects,Upper GI adverse events
47,Adverse-effects,inflammation
48,Adverse-effects,increased toxicity
49,Adverse-effects,galactorrhea
50,Adverse-effects,analgesic effects
51,Adverse-effects,Arterial patency
52,Adverse-effects,increase in plasma PAI-1
53,Adverse-effects,catheter related sepsis
54,Adverse-effects,elevation of intraocular pressure
55,Adverse-effects,treatment-related adverse events
56,Adverse-effects,subjective measurements of fatigue
57,Adverse-effects,minimal diameter
58,Adverse-effects,peak workloads
59,Adverse-effects,significant side effects
60,Adverse-effects,serious adverse events (vomiting and throat oedema)
61,Adverse-effects,dose limiting toxicity
62,Adverse-effects,"headache, peripheral edema, dizziness, nausea, extremity pain, and fatigue"
63,Adverse-effects,secretion
64,Adverse-effects,incidence of neurotoxicity
65,Adverse-effects,acute treatment failure
66,Adverse-effects,complications or adverse events
67,Adverse-effects,morbidity rate
68,Adverse-effects,AUC0 -- > infinity
45,Adverse-effects,"death, myocardial infarction (MI), unstable angina, revascularization or stroke"
44,Adverse-effects,drowsiness and weight gain
43,Adverse-effects,LF/HF ratio
42,Adverse-effects,perceptual changes and psychotic symptoms
18,Adverse-effects,combined incidence of major adverse cardiac event
19,Adverse-effects,behavioural and physiological observations
20,Adverse-effects,Parents ' checklist ratings (ABC)
21,Adverse-effects,nausea and fatigue
22,Adverse-effects,change in severity
23,Adverse-effects,frequency of perceived adverse events and near misses
24,Adverse-effects,serious toxic effects or irritation
